新闻频道,#genre#
三立iNEWS,http://bvm.808848.xyz:50007/iNEWS/index.m3u8
三立iNEWS,http://xn--elt51t.azip.dpdns.org:5008/iNEWS/index.m3u8
東森財經新聞,http://bvm.808848.xyz:50007/4gtv-4gtv153/index.m3u8
東森財經新聞,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv153/index.m3u8
中視新聞台,http://bvm.808848.xyz:50007/4gtv-4gtv074/index.m3u8
中視新聞台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv074/index.m3u8
中天新聞台,http://bvm.808848.xyz:50007/4gtv-4gtv009/index.m3u8
中天新聞台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv009/index.m3u8
BLOOMBERG TV,http://bvm.808848.xyz:50007/4gtv-live059/index.m3u8
BLOOMBERG TV,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live059/index.m3u8
寰宇新聞,http://bvm.808848.xyz:50007/litv-longturn14/index.m3u8
寰宇新聞,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn14/index.m3u8
寰宇新聞台灣台,http://bvm.808848.xyz:50007/4gtv-4gtv156/index.m3u8
寰宇新聞台灣台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv156/index.m3u8
SBN 全球財經台,http://bvm.808848.xyz:50007/4gtv-live060/index.m3u8
SBN 全球財經台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live060/index.m3u8
寰宇財經,http://bvm.808848.xyz:50007/4gtv-4gtv158/index.m3u8
寰宇財經,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv158/index.m3u8
FRANCE24 英文台,http://bvm.808848.xyz:50007/4gtv-live146/index.m3u8
FRANCE24 英文台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live146/index.m3u8
半島國際新聞台,http://bvm.808848.xyz:50007/litv-ftv10/index.m3u8
半島國際新聞台,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv10/index.m3u8
VOA 美國之音,http://bvm.808848.xyz:50007/litv-ftv03/index.m3u8
VOA 美國之音,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv03/index.m3u8
CNBC Asia 財經台,http://bvm.808848.xyz:50007/4gtv-live130/index.m3u8
CNBC Asia 財經台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live130/index.m3u8
DW德國之聲,http://bvm.808848.xyz:50007/4gtv-live071/index.m3u8
DW德國之聲,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live071/index.m3u8
非凡新聞,http://bvm.808848.xyz:50007/4gtv-4gtv010/index.m3u8
非凡新聞,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv010/index.m3u8
非凡商業,http://bvm.808848.xyz:50007/4gtv-4gtv048/index.m3u8
非凡商業,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv048/index.m3u8
台視財經台,http://bvm.808848.xyz:50007/4gtv-4gtv056/index.m3u8
台視財經台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv056/index.m3u8
TVBS新聞台,http://bvm.808848.xyz:50007/4gtv-4gtv072/index.m3u8
